SourceOfWO,Title,RequestTypeName,TierCode,PriorityInterdepart,PriorityInternal,SLAWorkingDays,DueDate,MonitoringEmail,AssigneeEmail,AssignedHours,TenderOrProjectCode,IndicativeValue,ComplexityValue,Remark,ExtWoNo,ProjectCode,SourceDeptCode,EndUser,ReceivedDate,Status
CSI,Tender - Consultant - UKAS - UMPSA - LSH - Prebid,Tender / RFP,1,High,High,7,30-01-26,suhadi@10creativesolutions.com,,,UKAS-UMPSA-LSH.Prebid,,,UKAS - UMPSA - LSH,,,CSI,UKAS - UMPSA - LSH,23-01-26,
CSI,Tender - Consultant - W&C Melaka - Prebid Meeting,Tender / RFP,1,High,High,2,30-01-26,suhadi@10creativesolutions.com,,4,W&C Melaka.Prebid.Logikontrol,,,"To be informed. Weekly Meeting No.5 for Tender WCC Hospital Melaka (Design & Built) will be held as per below detail:

*Agenda: Design/Submission Progress

Date : Friday / 30.01.2026
Time: 10.00am - 1.00pm
Venue: Logikontrol Office

Your attendance is highly appreciated, TQ",,,CSI,W&C Melaka,28-01-26,
CSI,Tender - Consultant - W&C Melaka - ,Tender / RFP,1,High,High,2,30-01-26,suhadi@10creativesolutions.com,,4,W&C Melaka.Prebid.Logikontrol,,,"To be informed. Weekly Meeting No.5 for Tender WCC Hospital Melaka (Design & Built) will be held as per below detail:

*Agenda: Design/Submission Progress

Date : Friday / 30.01.2026
Time: 10.00am - 1.00pm
Venue: Logikontrol Office

Your attendance is highly appreciated, TQ",,,CSI,W&C Melaka,28-01-26,
CSI,Tender - Consultant - HSA2 - M&R - Prebid Meeting,Tender / RFP,1,High,High,10,02-02-26,suhadi@10creativesolutions.com,,,HSA2-M&R.Prebid,,,HSA2 - M&R,,,CSI,HSA2 - M&R,23-01-26,
CPO,Project - JDN - Quotation Review,Project Monitoring,1,High,High,5,02-02-26,suhadi@10creativesolutions.com,,24,TE2554.JDN.10CS,,,To review RIMBA Quotations.,400-28012026-008,,CPO,JDN,28-01-26,
CSI,Prebid Meeting KMK (Kubang Pasu),Tender / RFP,1,High,High,0,02-02-26,suhadi@10creativesolutions.com,,4,,,,"KMK Prebid Meeting
Go In As: Asyarah
Maincon: Utusan Teguh Sdn Bhd.
Maincon submission date: End of Feb.",300-20260203-001,,CSI,KMK,02-02-26,
CSI,Tender - JPN - ,Tender / RFP,1,High,High,0,02-02-26,suhadi@10creativesolutions.com,,4,,,,"Tender briefing JPN Maintenance.
Time: 130PM
Tender Closing: 16/2/2026",300-20260126-001,,CSI,JPN,02-02-26,
CSI,Tender -  UiTM - Tender Briefing,Tender / RFP,1,High,High,0,02-02-26,suhadi@10creativesolutions.com,,2,,,,"Tender Briefing: UiTM Antivirus 1 year. (sebutharga)
Time: 9AM
Closing: 10/2/2026",300-20260121-001,,CSI,,02-02-26,
CMT,Tender - SPP - ICT,Tender / RFP,1,High,High,9,03-02-26,suhadi@10creativesolutions.com,,24,QT250000000037000,,,PERKHIDMATAN SEWA GUNA PERALATAN ICT BAGI TEMPOH 36 BULAN DI SURUHANJAYA PERKHIDMATAN PENDIDIKAN (SPP),,,CMT,SPP,25-01-26,
CPO,Kajian Pasaran - HKL - Prepare Specs & Quotation,Leads / Opportunity,1,High,High,6,03-02-26,suhadi@10creativesolutions.com,,24,P2406.HKL.FS,,,Request Desktop PC specifications for the Call Centre ,400-29012026-011,,CPO,HKL,28-01-26,
CSI,Tender - Consultant - PPDBD - Meeting,Tender / RFP,1,High,High,1,03-02-26,suhadi@10creativesolutions.com,,4,PPDBD.Consultant,,,"Meeting Projek PPDBD

Tarikh : 3/2/2026
",,,CSI,PPDBD,02-02-26,
CPO,Project - UPNM - ODL Meeting,Project Monitoring,1,High,High,1,03-02-26,suhadi@10creativesolutions.com,,8,UPNM.ODL,,,Assist in project,,,CPO,UPNM,02-02-26,
CMT,Tender - KPT - SPKG,Tender / RFP,1,High,High,12,04-02-26,suhadi@10creativesolutions.com,,,QT250000000034867,,,TENDER PERKHIDMATAN MENAIK TARAF SISTEM PENGUMPULAN DATA INSTITUSI PENDIDIKAN TINGGI AWAM (IPTA) SISTEM MYMOHES DAN SISTEM KAJIAN PENGESANAN GRADUAN (SKPG) DI KEMENTERIAN PENDIDIKAN TINGGI (KPT),,,CMT,KPT,23-01-26,
CMT,Tender - JPS - Data Lidar,Tender / RFP,1,High,High,12,04-02-26,suhadi@10creativesolutions.com,,,QT250000000036776,,,"PERKHIDMATAN PEROLEHAN DATA LIDAR 3D SCANNING UNTUK KAJIAN PENILAIAN INTEGRITI STRUKTUR TEROWONG SMART BAGI PROJEK RANCANGAN TEBATAN BANJIR UPPER SUNGAI KLANG, WILAYAH PERSEKUTUAN KUALA LUMPUR",200-15012026-001,,CMT,JPS,23-01-26,
CSI,BIM - HUSM  - To review and coordinate ICT and LV trunking and conduit routing at Level 1 to avoid clashes and ensure compliance with design requirements.,BIM Postsales Total Solution,1,High,High,7,04-02-26,suhadi@10creativesolutions.com,,24,,,,To coordinate ICT trunking and conduit at Level 1 (Intra-discipline: ICT vs LV).,,,CSI,HUSM ,28-01-26,
CSA,Meeting (Others) - MIMOS - BI-Zone,Tender / RFP,1,High,High,5,04-02-26,suhadi@10creativesolutions.com,,24,,,,BiZone Russia - MIMOS,100-30012026-002,,CSA,MIMOS,30-01-26,
CSA,Meeting (Others) - Perhilitan - Chatbot,Tender / RFP,1,High,High,5,04-02-26,suhadi@10creativesolutions.com,,24,,,,PERHILITAN – Digital Media Analytics & Chatbot Services Discussion,100-30012026-003,,CSA,Perhilitan,30-01-26,
CGI,Others - CGI - GE & Google Product Owner,Tender / RFP,1,High,High,2,04-02-26,suhadi@10creativesolutions.com,,4,,,,Assign Product Owner for GE and Google,120-0202206-001,,CGI,CGI,02-02-26,
CSI,BIM - HSA - Create Telephone Schematic Diagram,BIM Postsales Total Solution,1,High,High,1,04-02-26,suhadi@10creativesolutions.com,,24,,,,Create Telephone Schematic Diagram,,,CSI,HSA,03-02-26,
CSI,Tender - Consultant - UKAS-UMK - Prebid,Tender / RFP,1,High,High,13,05-02-26,suhadi@10creativesolutions.com,,,,,,,,,CSI,UKAS-UMK,23-01-26,
CSI,Tender - JAN - Desktop,Tender / RFP,1,High,High,9,05-02-26,suhadi@10creativesolutions.com,,24,QT250000000037055,,,"PEROLEHAN PERKHIDMATAN SEWAAN KOMPUTER, KOMPUTER RIBA DAN TABLET DI IBU PEJABAT, JABATAN AUDIT NEGARA BAGI TEMPOH 18 BULAN    ",,,CSI,JAN,28-01-26,
CPO,Project - JMG - Helpdesk SOP,Project Monitoring,1,High,High,7,05-02-26,suhadi@10creativesolutions.com,,24,TE2531.JMG-SEWAAN.MZ,,,"Based on our discussion earlier, we would like to kindly request your assistance to prepare a Standard Operating Procedure (SOP) for JMG end users.
The SOP is intended to outline the proper method for end users to log tickets to the helpdesk in order to report any issues encountered.
Your support and cooperation on this matter are greatly appreciated. Please let us know if further information is required from our side.",400-30012026-002,,CPO,JMG,29-01-26,
CSI,Others - UPNM - SSO Integration ,Project Monitoring,1,High,High,1,05-02-26,suhadi@10creativesolutions.com,,4,UPNM.ODL,,,SSO integration - session,,,CSI,UPNM,02-04-26,
CSI,BIM - HUSM - BIM Meeting,BIM Postsales Total Solution,1,High,High,1,05-02-26,suhadi@10creativesolutions.com,,4,HUSM.Consultant,,,BIM Meeting,,,CSI,HUSM,02-04-26,
CPO,Work Order (ext) - IDFR - NCS,Tender / RFP,1,High,High,14,06-02-26,suhadi@10creativesolutions.com,,,IDFR. 2025.CONSULTANCY,,,To Compile NCS Closing and to submit NCS document to MCS Management Sdn. Bhd.,400-23012026-0029,,CPO,IDFR,23-01-26,
CPO,Consultant - IDFR - Assessment Report,Tender / RFP,1,High,High,14,06-02-26,suhadi@10creativesolutions.com,,,IDFR. 2025.CONSULTANCY,,,"Please Provide  the below information as per JKR Request

Menyediakan laporan condition assessment bagi ICT (Jika Ada)",400-23012026-009,,CPO,IDFR,23-01-26,
CPO,Consultant - IDFR - RDS,Tender / RFP,1,High,High,14,06-02-26,suhadi@10creativesolutions.com,,,IDFR. 2025.CONSULTANCY,,,"Please Provide  the below information as per JKR Request

Menyediakan Room Data Sheet (RDS) berdasarkan Room To Room Inspection",400-23012026-010,,CPO,IDFR,23-01-26,
CMT,Tender - CBP - ICT,Tender / RFP,1,High,High,10,06-02-26,suhadi@10creativesolutions.com,,24,WP004_ITO02,,,"RFQ RENTAL SERVICES (LEASED TO USE) SUPPLY, DELIVER, INSTALL, TEST AND COMMISSION ICT HARDWARE AT CO-OPBANK PERTAMA (CBP)RFQ RENTAL SERVICES (LEASED TO USE) SUPPLY, DELIVER, INSTALL, TEST AND COMMISSION ICT HARDWARE AT CO-OPBANK PERTAMA (CBP)",200-27012026-001,,CMT,CBP,27-01-26,
CSI,Event - Alibaba Cloud Malaysia Partner Connect,Tender / RFP,1,High,High,9,06-02-26,suhadi@10creativesolutions.com,,24,,,,Alibaba Cloud Malaysia Partner Connect,,,CSI,Alibaba Cloud,28-01-26,
CSI,Consultant - HKL - Update meeting,Project Monitoring,1,High,High,3,06-02-26,suhadi@10creativesolutions.com,,4,HKL_Masterplan.Consultant,,,Update Meeting,,,CSI,HKL,03-02-26,
CSI,Event - Consultant - IBC Training,Tender / RFP,1,High,High,1,06-02-26,suhadi@10creativesolutions.com,,4,,,,Briefing In Building Coverage (IBC) for JKR project from SKMM Subcontractor,,,CSI,Consultant,05-02-26,
CSI,Event - Consultant - IBC Training,Tender / RFP,1,High,High,1,06-02-26,suhadi@10creativesolutions.com,,4,,,,Briefing In Building Coverage (IBC) for JKR project from SKMM Subcontractor,,,CSI,Consultant,05-02-26,
CSI,Tender - Consultant - HSA2 - Printing LOB,Tender / RFP,1,High,High,0,06-02-26,suhadi@10creativesolutions.com,,8,,,,Printing LOB for HSA2 - M&R - 4 copy,,,CSI,HSA2,05-02-26,
CPO,Consultant - USIM - VM Session,Project Monitoring,1,High,High,17,09-02-26,suhadi@10creativesolutions.com,,32,USIM. 2025.CONSULTANCY,,,"To Attend (VM) session with KPT, End Users (EU), MCS, 9 February to 13 February 2026.

",400-23012026-0031,,CPO,USIM,23-01-26,
CMT,Tender - MARDI - Network,Tender / RFP,1,High,High,15,09-02-26,suhadi@10creativesolutions.com,,24,MDI/FM/KW/476-TP002/2026,,,"PERKHIDMATAN NAIKTARAF KEMUDAHAN RANGKAIAN ICT MERANGKUMI SWITCH, KABEL GENTIAN OPTIK, KABEL UTP, WIRELESS ACCESS POINT SERTA PERALATAN, AKSESORI DAN KERJA BERKAITAN DI 4 PUSAT TANGGUNGJAWAB (PTJ) IBU PEJABAT MARDI, SERDANG SELANGOR",200-19012026-003,,CMT,MARDI,23-01-26,
CSI,Tender - KESEDAR - Surface,Tender / RFP,1,High,High,6,09-02-26,suhadi@10creativesolutions.com,,24,LKKS(C)/TS/SH/B/01/2026,,,"TAWARAN SEMULA MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJITERIMA MICROSOFT SURFACE PRO 11 DI IBU PEJABAT KESEDAR GUA MUSANG, KELANTAN",,,CSI,KESEDAR,03-02-26,
CPO,Consultant - USIM - VM Session,Project Monitoring,1,High,High,17,09-02-26,suhadi@10creativesolutions.com,,8,USIM. 2025.CONSULTANCY,,,"To Attend (VM) session with KPT, End Users (EU), MCS, 9 February to 13 February 2026.",400-23012026-0031,,CPO,USIM,23-01-26,
CSI,Meeting (Others) - UPNM - Handover Task,Tender / RFP,1,High,High,0,09-02-26,suhadi@10creativesolutions.com,,8,UPNM.ODL,,,Transfer PM roles to CPO,,,CSI,UPNM,09-02-26,
CMT,Tender Briefing - KESUMA - Tender Briefing - 3,Tender / RFP,1,High,High,0,09-02-26,suhadi@10creativesolutions.com,,4,,,,Tender briefing - KESUMA,,,CMT,KESUMA,09-02-26,
CSI,Tender - UITM - Antivirus,Tender / RFP,1,High,High,14,10-02-26,suhadi@10creativesolutions.com,,24,UiTM/B1/PER/SHR/B/0126/0002,,,"MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJILARI PERISIAN ANTIVIRUS ENDPOINT DAN SERVER SELAMA 1 TAHUN KE UNIVERSITI TEKNOLOGI MARA (2026).",200-27012026-006,,CSI,UITM,27-01-26,
CSI,Tender - HTARK - PACS,Tender / RFP,1,High,High,14,10-02-26,suhadi@10creativesolutions.com,,24,,,,PERKHIDMATAN RADIOLOGY INFORMATION SYSTEM DAN PICTURE ARCHIVING & COMMUNICATION SYSTEM (RIS/ PACS) DI HOSPITAL TENGKU AMPUAN RAHIMAH KLANG,,,CSI,HTARK,27-01-26,
CPO,Kajian Pasaran - KESEDAR - CCTV - Proposal,Leads / Opportunity,1,High,High,7,10-02-26,suhadi@10creativesolutions.com,,24,KESEDAR,,,"Request for proposal,

KESEDAR request for proposal for the CCTV system. They need to know the systems and budgetary for implementation. 
Info details:
Kesedar HQ = 34 Nos
Kesedar branch = 16 Nos
System will monitor and manage by Kesedar HQ.
Please complete with storage for 1 months period.",400-04022026-008,,CPO,KESEDAR,03-02-26,
CMT,Tender - DOSM - IP PABX,Tender / RFP,1,High,High,3,10-02-26,suhadi@10creativesolutions.com,,24,QT250000000037022,,,"SEBUT HARGA PERKHIDMATAN PENYELENGGARAAN RANGKAIAN, SISTEM IP PABX DAN SOKONGAN PERALATAN IP PHONE ILSM, JABATAN PERANGKAAN MALAYSI",200-03022026-006,,CMT,DOSM,02-07-26,
CSI,Meeting (Others) - HKL.Masterplan - Meeting with maincon,Tender / RFP,1,High,High,1,10-02-26,suhadi@10creativesolutions.com,,8,HKL.Masterplan.Consultant,,,Meeting with maincon,,,CSI,HKL.Masterplan,02-09-26,
CPO,Consultant - BGP - DC Documents,Tender / RFP,1,High,High,19,11-02-26,suhadi@10creativesolutions.com,,,BGP. 2025.CONSULTANCY,,,"To carry out the end-to-end ICT Data Center layout and physical design for a Bangunan Guna Sama Persekutuan in Kuching, Sarawak, including layout planning, conceptual sizing, network infrastructure design, Tier 3 redundancy assessment, network and server architecture, ICT security requirements, and comprehensive ICT–M&E interface coordination.
Kindly refer to the questionnaires submitted by the respective 25 agencies.
ICT–M&E Interface Requirements shall include, but not be limited to:
Essential power requirements for the Data Center.
UPS capacity and runtime requirements (ICT input)
Rack power density assumptions
Cooling requirements, including temperature, humidity, and redundancy
ICT earthing and bonding requirements
Fire detection and clean agent fire suppression interface
Environmental monitoring requirements
Data Center Layout & Physical Design shall include:
Server room layout planning
Equipment rack layout and rack elevation drawings
Hot aisle / cold aisle configuration (where applicable)
Cable tray and pathway coordination (power versus data)
The design shall also address requirements from  by the Jabatan Digital Negara (JDN) on the methodology adopted in determining Data Center conceptual sizing, including UPS capacity, supporting systems, equipment rack quantity, and server requirements, as well as compliance with Tier 3 redundancy principles in accordance with the Client Brief of Requirement (CBR) JKR and TIA-942 standards.",400-21012026-009,,CPO,BGP,23-01-26,
CMT,Tender - IKN - NIH,Tender / RFP,1,High,High,19,11-02-26,suhadi@10creativesolutions.com,,24,QT250000000036441,,,"TENDER BAGI PERKHIDMATAN PENYELENGGARAAN DAN SOKONGAN TEKNIKAL PERKAKASAN DAN PERISIAN ICT BAGI TEMPOH 36 BULAN DI INSTITUT KESIHATAN NEGARA (NIH), SETIA ALAM, SELANGOR",200-19012026-002,,CMT,IKN,23-01-26,
CSI,Tender - MQA - AV,Tender / RFP,1,High,High,14,11-02-26,suhadi@10creativesolutions.com,,24,46023,,,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJILARI DAN MENTAULIAH PERALATAN CONFERENCE SYSTEM DI BILIK MESYUARAT AMETHYST, ARAS 3 EAST, AGENSI KELAYAKAN MALAYSIA (MQA)",200-04022026-003,,CSI,MQA,28-01-26,
CSI,Tender - MQA - Backup DR,Tender / RFP,1,High,High,14,11-02-26,suhadi@10creativesolutions.com,,24,,,,"LANGGANAN PERKHIDMATAN SANDARAN PEMULIHAN DAN
OFFSITE BACKUP DISASTER RECOVERY UNTUK PUSAT DATA
AGENSI KELAYAKAN MALAYSIA (MQA) BAGI TEMPOH SATU
(1) TAHUN",,,CSI,MQA,28-01-26,
CSI,Tender - MQA - Network,Tender / RFP,1,High,High,14,11-02-26,suhadi@10creativesolutions.com,,24,,,,MEMBEKAL DAN MENYENGGARA PERKAKASAN RANGKAIAN BERSERTA PENDAWAIAN UNTUK PUSAT DATA AGENSI KELAYAKAN MALAYSIA (MQA),,,CSI,MQA,28-01-26,
CSI,BIM - HUSM - To review and coordinate ICT and LV trunking and conduit routing at Level 2 to avoid clashes and ensure compliance with design requirements.,BIM Postsales Total Solution,1,High,High,8,11-02-26,suhadi@10creativesolutions.com,,24,,,,"To coordinate ICT trunking and conduit at Level 2 (Intra-discipline: ICT vs LV).
",,,CSI,HUSM,03-02-26,
CSI,Tender - KESEDAR - GIS,Tender / RFP,1,High,High,8,11-02-26,suhadi@10creativesolutions.com,,24,LKKS(H)/SH/P/06/2026,,,PERKHIDMATAN PEMBANGUNAN PANGKALAN DATA GIS UNTUK KAWASAN LADANG BERPENEROKA DI RANCANGAN KEMAJUAN TANAH (RKT) KESEDAR JERAM TEKOH GUA MUSANG KELANTAN SELUAS 2000.00 HEKTAR,,,CSI,KESEDAR,03-02-26,
CGI,Others - CGI - Update for Transformation Meeting,Tender / RFP,1,High,High,1,11-02-26,suhadi@10creativesolutions.com,,4,,,,Inputs Requested for Preparation Towards Upcoming Group Transformation Meeting ,120-02092026-001 ,,CGI,CGI,10-02-26,
CPO,Consultant - USIM - VM Session,Project Monitoring,1,High,High,19,11-02-26,suhadi@10creativesolutions.com,,8,USIM. 2025.CONSULTANCY,,,"To Attend (VM) session with KPT, End Users (EU), MCS, 9 February to 13 February 2026.",400-23012026-0031,,CPO,USIM,23-01-26,
CMT,Tender - JPN - Biometrik,Tender / RFP,1,High,High,20,11-02-26,suhadi@10creativesolutions.com,,24,QT250000000036773,,,PERKHIDMATAN PENYELENGGARAAN PERKAKASAN DAN PERISIAN BIOMETRIK CAWANGAN DI JABATAN PENDAFTARAN NEGARA (JPN),200-08012026-002,,CMT,JPN,23-01-26,
CGI,Others - CGI - Internal Audit CAR Response,Tender / RFP,1,High,High,2,11-02-26,suhadi@10creativesolutions.com,,24,,,,2nd IA CARs CSI Response ,120-10022026-015,,CGI,CGI,10-02-26,
CSA,Meeting (Others) - ITRAMAS - Meeting and Presentation,Tender / RFP,1,High,High,2,11-02-26,suhadi@10creativesolutions.com,,24,ITRAMAS,,,Attend meeting and prepare presentation on company profile and vendor registration,100-10022026-001,,CSA,ITRAMAS,10-02-26,
CSI,Tender - Consultant - HSA2 - M&R - Prebid,Tender / RFP,1,High,High,21,13-02-26,suhadi@10creativesolutions.com,,,,,,HSA2 - M&R,,,CSI,HSA2 - M&R,23-01-26,
CSI,Tender - SUK Selangor - ICT,Tender / RFP,1,High,High,17,13-02-26,suhadi@10creativesolutions.com,,24,T/SUKSEL/03-2026,,,TENDER PEROLEHAN PERKHIDMATAN SEWAAN SECARA SEWA GUNA (LEASE TO USE) PERKAKASAN ICT TAHUN 2026 DENGAN JAMINAN DAN KHIDMAT SOKONGAN SELAMA TIGA (3) TAHUN UNTUK KEGUNAAN KAKITANGAN DI PEJABAT SETIAUSAHA KERAJAAN NEGERI SELANGOR DAN SEMBILAN (9) PEJABAT DAERAH DAN TANAH SELANGOR,200-27012026-004,,CSI,SUK Selangor,27-01-26,
CSI,Tender - KPDN ZON 5 - ICT,Tender / RFP,1,High,High,17,13-02-26,suhadi@10creativesolutions.com,,24,QT250000000037048,,,"PERKHIDMATAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI, MENTAULIAH DAN MENYELENGGARA KOMPUTER MEJA, KOMPUTER RIBA, MESIN PENCETAK MONO, MESIN PENCETAK WARNA, MESIN PENCETAK MUDAH ALIH DAN MESIN PENGIMBAS SECARA SEWA GUNA SELAMA TIGA (3) TAHUN UNTUK KEGUNAAN KEMENTERIAN PERDAGANGAN DALAM NEGERI DAN KOS SARA HIDUP BAGI ZON 5 - SABAH, SARAWAK DAN WILAYAH PERSEKUTUAN LABUAN.",200-27012026-008,,CSI,KPDN ZON 5,27-01-26,
CSI,Tender - KPDN ZON 4 - ICT,Tender / RFP,1,High,High,17,13-02-26,suhadi@10creativesolutions.com,,24,QT250000000037047,,,"PERKHIDMATAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI, MENTAULIAH DAN MENYELENGGARA KOMPUTER MEJA, KOMPUTER RIBA, MESIN PENCETAK MONO, MESIN PENCETAK WARNA, MESIN PENCETAK MUDAH ALIH DAN MESIN PENGIMBAS SECARA SEWA GUNA SELAMA TIGA (3) TAHUN UNTUK KEGUNAAN KEMENTERIAN PERDAGANGAN DALAM NEGERI DAN KOS SARA HIDUP BAGI ZON 4 - MELAKA, NEGERI SEMBILAN DAN JOHOR.",200-27012026-009,,CSI,KPDN ZON 4,27-01-26,
CSI,Tender - KPDN ZON 2 - ICT,Tender / RFP,1,High,High,17,13-02-26,suhadi@10creativesolutions.com,,24,QT250000000037043,,,"PERKHIDMATAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI, MENTAULIAH DAN MENYELENGGARA KOMPUTER MEJA, KOMPUTER RIBA, MESIN PENCETAK MONO, MESIN PENCETAK WARNA, MESIN PENCETAK MUDAH ALIH DAN TABLET SECARA SEWA GUNA SELAMA TIGA (3) TAHUN UNTUK KEGUNAAN KEMENTERIAN PERDAGANGAN DALAM NEGERI DAN KOS SARA HIDUP BAGI ZON 2 - PERAK, SELANGOR DAN WILAYAH PERSEKUTUAN KUALA LUMPUR",200-27012026-011,,CSI,KPDN ZON 2,27-01-26,
CSI,Tender - KPDN ZON 3 - ICT,Tender / RFP,1,High,High,17,13-02-26,suhadi@10creativesolutions.com,,24,QT250000000037044,,,"PERKHIDMATAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI, MENTAULIAH DAN MENYELENGGARA KOMPUTER MEJA, KOMPUTER RIBA, MESIN PENCETAK MONO, MESIN PENCETAK WARNA, MESIN PENCETAK MUDAH ALIH DAN MESIN PENGIMBAS SECARA SEWA GUNA SELAMA TIGA (3) TAHUN UNTUK KEGUNAAN KEMENTERIAN PERDAGANGAN DALAM NEGERI DAN KOS SARA HIDUP BAGI ZON 3 - KELANTAN, TERENGGANU DAN PAHANG.",200-27012026-010,,CSI,KPDN ZON 3,27-01-26,
CSI,Tender - KPDN ZON 1 - ICT,Tender / RFP,1,High,High,17,13-02-26,suhadi@10creativesolutions.com,,24,QT250000000037038,,,"PERKHIDMATAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI, MENTAULIAH DAN MENYELENGGARA KOMPUTER MEJA, KOMPUTER RIBA, MESIN PENCETAK MONO, MESIN PENCETAK WARNA, MESIN PENCETAK MUDAH ALIH DAN MESIN PENGIMBAS SECARA SEWA GUNA SELAMA TIGA (3) TAHUN UNTUK KEGUNAAN KEMENTERIAN PERDAGANGAN DALAM NEGERI DAN KOS SARA HIDUP BAGI ZON 1 - PERLIS, KEDAH DAN PULAU PINANG.",200-27012026-012,,CSI,KPDN ZON 1,27-01-26,
CSA,Meeting (Others) - PAAB - Proxmox,Tender / RFP,1,High,High,14,13-02-26,suhadi@10creativesolutions.com,,24,,,,Technology Update PROXMOX Solutions,100-30012026-004,,CSA,PAAB,30-01-26,
CSI,Tender - JPM - Backup,Tender / RFP,1,High,High,4,13-02-26,suhadi@10creativesolutions.com,,24,QT260000000002944,,,"SEBUT HARGA PEROLEHAN PERKHIDMATAN
PENYELENGGARAAN DAN PEMBAHARUAN LESEN SISTEM BACKUP DAN RESTORASI
BAGI TEMPOH 36 BULAN DI BAHAGIAN KABINET, PERLEMBAGAAN DAN
PERHUBUNGAN ANTARA KERAJAAN JABATAN PERDANA MENTERI",,,CSI,JPM,09-02-26,
CSI,Tender - UM - Briefing,Tender / RFP,1,High,High,-2,13-02-26,suhadi@10creativesolutions.com,,4,UM tender briefing,,,"Attending tender briefing - DICC UM.
Loc: DC2, JTM Universiti Malaya.
",300_20260213_001,,CSI,UM,15-02-26,
CSI,Tender - HRPZII - PABX,Tender / RFP,1,High,High,19,15-02-26,suhadi@10creativesolutions.com,,24,QT250000000036505,,,"TENDER PERKHIDMATAN SEWAAN PABX DI HOSPITAL RAJA PEREMPUAN ZAINAB II, KOTA BHARU BAGI TEMPOH TIGA (3) TAHUN",200-27012026-003,,CSI,HRPZII,27-01-26,
CSI,Tender - SUK - Data Backup,Tender / RFP,1,High,High,20,16-02-26,suhadi@10creativesolutions.com,,24,T/SUKSEL/05-2026,,,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MENGUJI, MENTAULIAH, DAN KHIDMAT SOKONGAN BAGI INFRASTRUKTUR DATA BACKUP DAN DISASTER RECOVERY BACKUP DI BAHAGIAN PENGURUSAN MAKLUMAT, PEJABAT SETIAUSAHA KERAJAAN NEGERI SELANGOR",200-27012026-005,,CSI,SUK,27-01-26,
CSI,Tender - JPN - ICT,Tender / RFP,1,High,High,13,16-02-26,suhadi@10creativesolutions.com,,24,QT260000000000919,,,PERKHIDMATAN PENYELENGGARAAN INFRASTRUKTUR ICT CAWANGAN DI JABATAN PENDAFTARAN NEGARA (JPN),200-04022026-002,,CSI,JPN,03-02-26,
CSI,Tender - Consultant - SMK Meru - Prebid Meeting,Tender / RFP,1,High,High,1,16-02-26,suhadi@10creativesolutions.com,,4,SMKMeru.Prebid,,,"Prebid Meeting
Main Con - ",,,CSI,SMK Meru,15-02-26,
CSA,Kajian Pasaran - JUPEM - Proposal,Leads / Opportunity,1,High,High,21,20-02-26,suhadi@10creativesolutions.com,,24,,,,JUPEM I-Geospatial Proposal,100-30012026-006,,CSA,JUPEM,30-01-26,
CSI,Tender - PPJ - SAP HANA,Tender / RFP,1,High,High,17,20-02-26,suhadi@10creativesolutions.com,,24,PPj/JK/T/0008/2025,,,"PERKHIDMATAN MENAIK TARAF PERISIAN DAN
PERKAKASAN SISTEM PENGURUSAN PERAKAUNAN,
KEWANGAN DAN SUMBER MANUSIA BERSEPADU SAP
ECC6 KE SAP S/4 HANA BAGI TEMPOH TIGA PULUH
ENAM (36) BULAN UNTUK PERBADANAN PUTRAJAYA",,,CSI,PPJ,03-02-26,
CMT,Tender - JDN - MySejahtera,Tender / RFP,1,High,High,31,23-02-26,suhadi@10creativesolutions.com,,24,,,,"FTA(CPTPP) PERKHIDMATAN SENGGARAAN PERKAKASAN, PERISIAN, RANGKAIAN DAN LESEN SISTEM PENGURUSAN BERKOMPUTER BERSEPADU (SPKB) UNTUK TENTERA UDARA DIRAJA MALAYSIA (TUDM)	",,,CMT,JDN,23-01-26,
CSI,Tender - UKM - IP PBX,Tender / RFP,1,High,High,21,24-02-26,suhadi@10creativesolutions.com,,24,NETST202600006,,,"MEMBEKAL, MEMASANG, MENGUJI DAN MENTAULIAH SISTEM TELEFON SERTA SISTEM IP PBX ( PRIVATE BRANCH EXCHANGE ) DI BILIK PABX UTAMA CANSELORI DI UNIVERSITI KEBANGSAAN MALAYSIA, BANGI. (UKM/JPP/2/2026)",200-03022026-007,,CSI,UKM,03-02-26,
CSI,Tender - MOSTI - Rangkaian,Tender / RFP,1,High,High,22,25-02-26,suhadi@10creativesolutions.com,,24,QT260000000000275,,,"[HIJAU] PEROLEHAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH PERALATAN RANGKAIAN BAGI IBU PEJABAT DAN NEGERI/CAWANGAN JABATAN KIMIA MALAYSIA.",,,CSI,KIMIA,03-02-26,
